"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"3286",1,"allD",0,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3287",2,"allD",0,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3288",3,"allD",4,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3289",4,"allD",8,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3290",5,"allD",13,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3291",6,"allD",13,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"3292",7,"allD",20,1,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32861",1,"allD",0,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32871",2,"allD",0,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32881",3,"allD",9,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32891",4,"allD",15,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32901",5,"allD",9,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32911",6,"allD",19,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32921",7,"allD",23,2,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32862",1,"allD",0,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32872",2,"allD",3,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32882",3,"allD",5,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32892",4,"allD",10,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32902",5,"allD",4,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32912",6,"allD",19,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32922",7,"allD",13,3,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32863",1,"allD",0,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32873",2,"allD",3,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32883",3,"allD",3,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32893",4,"allD",12,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32903",5,"allD",18,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32913",6,"allD",12,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32923",7,"allD",23,4,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32864",1,"allD",1,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32874",2,"allD",1,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32884",3,"allD",8,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32894",4,"allD",9,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32904",5,"allD",17,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32914",6,"allD",10,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32924",7,"allD",19,5,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32865",1,"allD",0,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32875",2,"allD",3,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32885",3,"allD",6,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32895",4,"allD",12,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32905",5,"allD",8,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32915",6,"allD",16,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32925",7,"allD",19,6,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32866",1,"allD",0,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32876",2,"allD",3,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32886",3,"allD",4,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32896",4,"allD",10,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32906",5,"allD",10,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32916",6,"allD",12,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32926",7,"allD",16,7,"AL",249986,10,5140,10,1,0,0.9,5134839.2
