"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"3286",1,"allD",0,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3287",2,"allD",0,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3288",3,"allD",4,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3289",4,"allD",8,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3290",5,"allD",13,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3291",6,"allD",13,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"3292",7,"allD",20,1,"AL",124993,10,1028,2,1,0,0.9,2567419.6
"32861",1,"allD",1,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32871",2,"allD",3,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32881",3,"allD",9,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32891",4,"allD",7,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32901",5,"allD",13,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32911",6,"allD",6,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32921",7,"allD",0,1,"AL",124993,10,1028,2,1,0.7,0.9,2567419.6
"32862",1,"allD",0,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32872",2,"allD",0,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32882",3,"allD",4,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32892",4,"allD",8,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32902",5,"allD",13,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32912",6,"allD",13,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32922",7,"allD",20,1,"AL",127500,10,1028,2,2,0,0.9,2567419.6
"32863",1,"allD",1,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32873",2,"allD",2,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32883",3,"allD",8,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32893",4,"allD",7,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32903",5,"allD",11,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32913",6,"allD",6,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32923",7,"allD",0,1,"AL",127500,10,1028,2,2,0.7,0.9,2567419.6
"32864",1,"allD",0,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32874",2,"allD",0,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32884",3,"allD",4,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32894",4,"allD",8,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32904",5,"allD",13,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32914",6,"allD",13,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32924",7,"allD",20,1,"AL",86430,10,1028,2,3,0,0.9,2567419.6
"32865",1,"allD",0,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32875",2,"allD",2,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32885",3,"allD",6,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32895",4,"allD",15,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32905",5,"allD",14,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32915",6,"allD",8,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32925",7,"allD",0,1,"AL",86430,10,1028,2,3,0.7,0.9,2567419.6
"32866",1,"allD",0,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32876",2,"allD",0,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32886",3,"allD",4,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32896",4,"allD",8,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32906",5,"allD",13,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32916",6,"allD",13,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32926",7,"allD",20,1,"AL",74418,10,1028,2,4,0,0.9,2567419.6
"32867",1,"allD",0,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32877",2,"allD",0,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32887",3,"allD",5,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32897",4,"allD",13,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32907",5,"allD",15,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32917",6,"allD",6,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32927",7,"allD",0,1,"AL",74418,10,1028,2,4,0.7,0.9,2567419.6
"32868",1,"allD",0,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32878",2,"allD",0,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32888",3,"allD",4,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32898",4,"allD",8,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32908",5,"allD",13,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32918",6,"allD",13,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32928",7,"allD",20,1,"AL",116701,10,1028,2,5,0,0.9,2567419.6
"32869",1,"allD",1,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32879",2,"allD",2,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32889",3,"allD",9,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32899",4,"allD",10,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32909",5,"allD",11,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32919",6,"allD",10,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"32929",7,"allD",0,1,"AL",116701,10,1028,2,5,0.7,0.9,2567419.6
"328610",1,"allD",0,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"328710",2,"allD",0,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"328810",3,"allD",4,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"328910",4,"allD",8,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"329010",5,"allD",13,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"329110",6,"allD",13,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"329210",7,"allD",20,1,"AL",124993,10,2056,4,1,0,0.9,2567419.6
"328611",1,"allD",0,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"328711",2,"allD",0,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"328811",3,"allD",8,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"328911",4,"allD",11,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"329011",5,"allD",11,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"329111",6,"allD",1,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"329211",7,"allD",0,1,"AL",124993,10,2056,4,1,0.7,0.9,2567419.6
"328612",1,"allD",0,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"328712",2,"allD",0,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"328812",3,"allD",4,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"328912",4,"allD",8,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"329012",5,"allD",13,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"329112",6,"allD",13,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"329212",7,"allD",20,1,"AL",127500,10,2056,4,2,0,0.9,2567419.6
"328613",1,"allD",0,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"328713",2,"allD",3,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"328813",3,"allD",8,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"328913",4,"allD",9,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"329013",5,"allD",10,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"329113",6,"allD",1,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"329213",7,"allD",0,1,"AL",127500,10,2056,4,2,0.7,0.9,2567419.6
"328614",1,"allD",0,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"328714",2,"allD",0,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"328814",3,"allD",4,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"328914",4,"allD",8,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"329014",5,"allD",13,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"329114",6,"allD",13,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"329214",7,"allD",20,1,"AL",86430,10,2056,4,3,0,0.9,2567419.6
"328615",1,"allD",0,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"328715",2,"allD",1,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"328815",3,"allD",4,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"328915",4,"allD",7,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"329015",5,"allD",11,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"329115",6,"allD",7,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"329215",7,"allD",0,1,"AL",86430,10,2056,4,3,0.7,0.9,2567419.6
"328616",1,"allD",0,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"328716",2,"allD",0,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"328816",3,"allD",4,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"328916",4,"allD",8,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"329016",5,"allD",13,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"329116",6,"allD",13,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"329216",7,"allD",20,1,"AL",74418,10,2056,4,4,0,0.9,2567419.6
"328617",1,"allD",1,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"328717",2,"allD",0,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"328817",3,"allD",7,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"328917",4,"allD",12,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"329017",5,"allD",6,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"329117",6,"allD",15,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"329217",7,"allD",0,1,"AL",74418,10,2056,4,4,0.7,0.9,2567419.6
"328618",1,"allD",0,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"328718",2,"allD",0,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"328818",3,"allD",4,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"328918",4,"allD",8,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"329018",5,"allD",13,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
"329118",6,"allD",13,1,"AL",116701,10,2056,4,5,0,0.9,2567419.6
