,Region,age_cat,sum_pop,key
1,Alaotra-Mangoro,"[0,10)",339964,AL
2,Alaotra-Mangoro,"[10,20)",316176,AL
3,Alaotra-Mangoro,"[20,30)",207963,AL
4,Alaotra-Mangoro,"[30,40)",146680,AL
5,Alaotra-Mangoro,"[40,50)",113387,AL
6,Alaotra-Mangoro,"[50,60)",68857,AL
7,Alaotra-Mangoro,"[60,Inf)",56904,AL
8,Amoron'i Mania,"[0,10)",246242,AM
9,Amoron'i Mania,"[10,20)",223225,AM
10,Amoron'i Mania,"[20,30)",121715,AM
11,Amoron'i Mania,"[30,40)",88161,AM
12,Amoron'i Mania,"[40,50)",67802,AM
13,Amoron'i Mania,"[50,60)",45706,AM
14,Amoron'i Mania,"[60,Inf)",44265,AM
15,Analamanga,"[0,10)",808703,AN
16,Analamanga,"[10,20)",840197,AN
17,Analamanga,"[20,30)",686142,AN
18,Analamanga,"[30,40)",475270,AN
19,Analamanga,"[40,50)",371455,AN
20,Analamanga,"[50,60)",239293,AN
21,Analamanga,"[60,Inf)",202865,AN
22,Analanjirofo,"[0,10)",278067,AJ
23,Analanjirofo,"[10,20)",296622,AJ
24,Analanjirofo,"[20,30)",209213,AJ
25,Analanjirofo,"[30,40)",145120,AJ
26,Analanjirofo,"[40,50)",100708,AJ
27,Analanjirofo,"[50,60)",65676,AJ
28,Analanjirofo,"[60,Inf)",54683,AJ
29,Androy,"[0,10)",338339,AY
30,Androy,"[10,20)",226967,AY
31,Androy,"[20,30)",134268,AY
32,Androy,"[30,40)",75982,AY
33,Androy,"[40,50)",52599,AY
34,Androy,"[50,60)",33836,AY
35,Androy,"[60,Inf)",38244,AY
36,Anosy,"[0,10)",257196,AS
37,Anosy,"[10,20)",208112,AS
38,Anosy,"[20,30)",134999,AS
39,Anosy,"[30,40)",85049,AS
40,Anosy,"[40,50)",57577,AS
41,Anosy,"[50,60)",34720,AS
42,Anosy,"[60,Inf)",31398,AS
43,Atsimo-Andrefana,"[0,10)",588198,AD
44,Atsimo-Andrefana,"[10,20)",464070,AD
45,Atsimo-Andrefana,"[20,30)",288600,AD
46,Atsimo-Andrefana,"[30,40)",191574,AD
47,Atsimo-Andrefana,"[40,50)",126475,AD
48,Atsimo-Andrefana,"[50,60)",72653,AD
49,Atsimo-Andrefana,"[60,Inf)",66324,AD
50,Atsimo-Atsinanana,"[0,10)",351640,AA
51,Atsimo-Atsinanana,"[10,20)",270151,AA
52,Atsimo-Atsinanana,"[20,30)",161626,AA
53,Atsimo-Atsinanana,"[30,40)",101806,AA
54,Atsimo-Atsinanana,"[40,50)",69348,AA
55,Atsimo-Atsinanana,"[50,60)",41690,AA
56,Atsimo-Atsinanana,"[60,Inf)",34143,AA
57,Atsinanana,"[0,10)",400603,AT
58,Atsinanana,"[10,20)",363927,AT
59,Atsinanana,"[20,30)",267599,AT
60,Atsinanana,"[30,40)",181666,AT
61,Atsinanana,"[40,50)",122228,AT
62,Atsinanana,"[50,60)",79911,AT
63,Atsinanana,"[60,Inf)",62538,AT
64,Betsiboka,"[0,10)",116149,BE
65,Betsiboka,"[10,20)",101979,BE
66,Betsiboka,"[20,30)",69701,BE
67,Betsiboka,"[30,40)",45335,BE
68,Betsiboka,"[40,50)",30097,BE
69,Betsiboka,"[50,60)",16771,BE
70,Betsiboka,"[60,Inf)",13246,BE
71,Boeny,"[0,10)",251907,BO
72,Boeny,"[10,20)",230728,BO
73,Boeny,"[20,30)",168033,BO
74,Boeny,"[30,40)",111715,BO
75,Boeny,"[40,50)",78737,BO
76,Boeny,"[50,60)",47361,BO
77,Boeny,"[60,Inf)",40831,BO
78,Bongolava,"[0,10)",200156,BG
79,Bongolava,"[10,20)",176009,BG
80,Bongolava,"[20,30)",114607,BG
81,Bongolava,"[30,40)",73531,BG
82,Bongolava,"[40,50)",53275,BG
