Region,key,freq_pop,freq_60,freqcases,freqdeaths,uniform,n_staff
Alaotra-Mangoro,AL,0.048684329,0.049660647,0.031008717,0.025641026,0.045454545,514
Amoron'i Mania,AM,0.032605344,0.038630475,0.009041096,0.001165501,0.045454545,340
Analamanga,AN,0.141150477,0.177042161,0.678929016,0.465034965,0.045454545,2777
Analanjirofo,AJ,0.044795522,0.04772236,0.014420922,0.017482517,0.045454545,373
Androy,AY,0.035063805,0.033375892,0.002465753,0.002331002,0.045454545,193
Anosy,AS,0.031512223,0.027401325,0.011930262,0.013986014,0.045454545,239
Atsimo-Andrefana,AD,0.070027276,0.057881568,0.021618929,0.053613054,0.045454545,590
Atsimo-Atsinanana,AA,0.040133837,0.029796912,0.001818182,0.006993007,0.045454545,270
Atsinanana,AT,0.057585912,0.054577491,0.043088418,0.064102564,0.045454545,760
Betsiboka,BE,0.015318026,0.011559907,0.002540473,0.001165501,0.045454545,180
Boeny,BO,0.036196343,0.035633591,0.021369863,0.065268065,0.045454545,663
Bongolava,BG,0.026134918,0.019667376,0.009439601,0.008158508,0.045454545,131
Diana,DI,0.034663676,0.037070943,0.035740971,0.06993007,0.045454545,475
Ihorombe,IH,0.016254141,0.011547689,0.005579078,0.01048951,0.045454545,662
Itasy,IT,0.034998136,0.038250846,0.006002491,0.002331002,0.045454545,182
Matsiatra Ambony,MA,0.056266105,0.06039148,0.02762142,0.066433566,0.045454545,257
Melaky,MK,0.012033249,0.009808379,0.001892902,0.005827506,0.045454545,127
Menabe,ME,0.026971166,0.021332505,0.011531756,0.016317016,0.045454545,192
Sava,SA,0.043770485,0.048247731,0.014146949,0.025641026,0.045454545,369
Sofia,SO,0.058720086,0.055084535,0.015342466,0.005827506,0.045454545,432
Vakinankaratra,VA,0.081001913,0.091863121,0.019178082,0.046620047,0.045454545,587
Vatovavy-Fitovinany,VF,0.056113033,0.043453066,0.010410959,0.001165501,0.045454545,493
