Region,key,freq_pop,freq_60,freqcases,freqdeaths,uniform,n_staff
Alaotra-Mangoro,AL,0.048684329,0.049660647,0.033664345,0.028985507,0.045454545,514
Amoron'i Mania,AM,0.032605344,0.038630475,0.007128435,0,0.045454545,340
Analamanga,AN,0.141150477,0.177042161,0.662532449,0.425120773,0.045454545,2777
Analanjirofo,AJ,0.044795522,0.04772236,0.016440727,0.026570048,0.045454545,373
Androy,AY,0.035063805,0.033375892,0.000659277,0,0.045454545,193
Anosy,AS,0.031512223,0.027401325,0.008488195,0.007246377,0.045454545,239
Atsimo-Andrefana,AD,0.070027276,0.057881568,0.016275908,0.026570048,0.045454545,590
Atsimo-Atsinanana,AA,0.040133837,0.029796912,0.000370843,0.002415459,0.045454545,270
Atsinanana,AT,0.057585912,0.054577491,0.05904652,0.084541063,0.045454545,760
Betsiboka,BE,0.015318026,0.011559907,0.001730603,0.002415459,0.045454545,180
Boeny,BO,0.036196343,0.035633591,0.032386996,0.11352657,0.045454545,663
Bongolava,BG,0.026134918,0.019667376,0.007458074,0,0.045454545,131
Diana,DI,0.034663676,0.037070943,0.046685071,0.103864734,0.045454545,475
Ihorombe,IH,0.016254141,0.011547689,0.005686266,0.007246377,0.045454545,662
Itasy,IT,0.034998136,0.038250846,0.003873254,0.002415459,0.045454545,182
Matsiatra Ambony,MA,0.056266105,0.06039148,0.027153982,0.079710145,0.045454545,257
Melaky,MK,0.012033249,0.009808379,0.001854217,0.004830918,0.045454545,127
Menabe,ME,0.026971166,0.021332505,0.01091928,0.007246377,0.045454545,192
Sava,SA,0.043770485,0.048247731,0.017718077,0.028985507,0.045454545,369
Sofia,SO,0.058720086,0.055084535,0.012196629,0.004830918,0.045454545,432
Vakinankaratra,VA,0.081001913,0.091863121,0.019819523,0.043478261,0.045454545,587
Vatovavy-Fitovinany,VF,0.056113033,0.043453066,0.007911327,0,0.045454545,493
